Kommune,Tag,Datum,Zeit,1. Straße,2. Straße,Nr.,StrG,Str.-Nr.,AbsX,Abs.X,Km,Meter,GEO_X,GEO_Y,KAT,TYP,UTYP,BET,GT,SV,LV,ALC,VU-F,Bet_01,Folg_01,VB_01,U1_01,U2_01,BT_ALT01,BT_M/W01,Bet_02,Folg_02,VB_02,U1_02,U2_02,BT_ALT02,BT_M/W02,Bet_03,Folg_03,VB_03,U1_03,U2_03,BT_ALT03,BT_M/W03,Bet_04,Folg_04,VB_04,U1_04,U2_04,BT_ALT04,BT_M/W04,Bet_05,Folg_05,VB_05,U1_05,U2_05,BT_ALT05,BT_M/W05,Bet_06,Folg_06,VB_06,U1_06,U2_06,BT_ALT06,BT_M/W06,Bet_07,Folg_07,VB_07,U1_07,U2_07,BT_ALT07,BT_M/W07,Bet_08,Folg_08,VB_08,U1_08,U2_08,BT_ALT08,BT_M/W08,Bet_09,Folg_09,VB_09,U1_09,U2_09,BT_ALT09,BT_M/W09,Bet_10,Folg_10,VB_10,U1_10,U2_10,BT_ALT10,BT_M/W10,Bet_11,Folg_11,VB_11,U1_11,U2_11,BT_ALT11,BT_M/W11,Bet_12,Folg_12,VB_12,U1_12,U2_12,BT_ALT12,BT_M/W12,Bet_13,Folg_13,VB_13,U1_13,U2_13,BT_ALT13,BT_M/W13,Bet_14,Folg_14,VB_14,U1_14,U2_14,BT_ALT14,BT_M/W14,Bet_15,Folg_15,VB_15,U1_15,U2_15,BT_ALT15,BT_M/W15,Bet_16,Folg_16,VB_16,U1_16,U2_16,BT_ALT16,BT_M/W16,Bet_17,Folg_17,VB_17,U1_17,U2_17,BT_ALT17,BT_M/W17,Bet_18,Folg_18,VB_18,U1_18,U2_18,BT_ALT18,BT_M/W18,Bet_19,Folg_19,VB_19,U1_19,U2_19,BT_ALT19,BT_M/W19
Gütersloh,Fr,02.01.2015,15:55,Saturnweg,,3,G,,,,,,8.36772,51.8938,5,7,99,2,0,0,0,0,1,1,0,71,49,,,0,2,0,21,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,05.01.2015,17:00,Carl-Bertelsmann-Straße,,270,L,788,9,0,1,800,8.42044,51.9094,3,3,42,2,0,0,1,0,0,1,0,21,37,,38,1,2,3,71,10,10,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,08.01.2015,17:55,Berliner Straße,Hülsbrockstraße,,B,61,55,200,0,0,8.39828,51.9208,5,2,21,2,0,0,0,0,0,1,0,21,35,,34,2,2,0,71,,,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,09.01.2015,10:45,Berliner Straße,,87,G,,,,,,8.38167,51.9101,5,1,41,2,0,0,0,0,0,1,0,71,49,,51,1,2,0,21,,,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,09.01.2015,07:55,Neuenkirchener Straße,Hoher Kamp,,L,782,15,100,0,595,8.39205,51.8823,3,3,42,2,0,0,1,0,0,1,0,21,28,,21,1,2,3,71,,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,11.01.2015,10:31,Bruder-Konrad-Straße,,32,K,39,2,0,1,750,8.41964,51.8839,2,7,14,2,0,1,0,0,0,1,0,21,36,,51,1,2,2,71,,,74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,15.01.2015,14:36,Wiedenbrücker Straße,Unter den Ulmen,,G,,,,,,8.36895,51.8956,2,7,63,1,0,1,0,0,0,1,2,71,49,4,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,15.01.2015,15:25,Berliner Straße,,12,G,,,,,,8.378,51.9058,5,6,81,2,0,0,0,0,1,1,0,71,49,,30,1,2,0,71,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,16.01.2015,14:50,Verler Straße,,,L,757,3,0,0,931,8.40182,51.8984,3,3,72,2,0,0,1,0,0,1,3,71,37,,9,1,2,0,21,,,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,16.01.2015,09:45,Friedrich-Ebert-Straße,,,L,757,1,0,0,540,8.38111,51.9097,5,6,81,2,0,0,0,0,0,1,0,71,10,,34,1,2,0,71,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,18.01.2015,17:18,Nordring,Marienfelder Straße,,B,61,52,0,0,0,8.366,51.9127,3,3,42,2,0,0,1,0,0,1,0,21,35,13,20,1,2,3,71,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,22.01.2015,07:50,Schledebrückstraße,Alter Hellweg,,G,,,,,,8.36796,51.8837,3,3,1,2,0,0,1,0,0,1,0,21,28,,44,2,2,3,71,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,22.01.2015,17:15,Reckenberger Straße,Hochstraße,,G,,,,,,8.38283,51.8984,5,3,2,2,0,0,0,0,0,1,0,71,35,,65,1,2,0,21,,,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,23.01.2015,15:45,Isselhorster Straße,,415,K,35,1,0,0,210,8.41573,51.9446,3,2,42,2,0,0,1,0,1,1,0,21,35,,62,2,2,3,71,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Sa,24.01.2015,12:25,Nordhorner Straße,,164,K,37,4,0,1,100,8.44032,51.9286,3,6,81,2,0,0,1,0,1,1,0,44,49,13,46,1,2,3,71,,,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,26.01.2015,07:45,Nordring,Franz-Birkhan-Ring,,B,61,54,0,0,250,8.38216,51.9145,3,2,44,2,0,0,1,0,1,1,0,21,35,,,1,2,3,71,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,26.01.2015,07:52,Auf der Haar,Elbrachtsweg,,G,,,,,,8.40267,51.893,5,3,72,2,0,0,0,0,0,1,0,71,37,,18,1,2,0,21,,,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,26.01.2015,16:52,Verler Straße,Stadtring Sundern,,L,757,3,0,1,100,8.40351,51.8976,5,2,43,2,0,0,0,0,0,1,0,21,28,,27,2,2,0,71,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,28.01.2015,17:15,Carl-Bertelsmann-Straße,Bockschatzweg,,L,788,9,0,0,950,8.4119,51.9066,5,3,99,2,0,0,0,0,1,1,0,71,11,,,1,2,0,21,,,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,29.01.2015,09:30,Barkeystraße,Bohlenstraße,,G,,,,,,8.37003,51.905,3,3,42,2,0,0,1,0,0,1,0,21,28,,44,2,2,3,71,10,,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,29.01.2015,16:31,Carl-Miele-Straße,Lothringer Straße,,G,,,,,,8.39035,51.9126,3,2,11,2,0,0,1,0,0,1,0,40,35,,37,1,2,3,71,,,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,06.02.2015,05:50,Spexarder Straße,,,L,787,2,0,1,475,8.4501,51.8963,2,7,71,2,0,1,0,0,0,1,0,21,55,,30,1,2,2,71,,,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,11.02.2015,15:25,Kahlertstraße,,167,G,,,,,,8.38479,51.926,3,3,41,2,0,0,1,0,0,1,0,21,37,,44,2,2,3,72,,,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,20.02.2015,18:47,Friedrich-Ebert-Straße,Berliner Straße,,L,757,1,0,0,540,8.38122,51.9097,3,2,21,2,0,0,1,0,0,1,0,21,35,,35,2,2,3,71,,,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,23.02.2015,10:36,Kaiserstraße,,17,L,782,18,0,1,0,8.38415,51.9077,2,3,43,2,0,1,0,0,0,1,0,21,49,13,73,2,2,2,71,,,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,25.02.2015,07:35,Thaddäusstraße,Am Ölbach,,G,,,,,,8.45468,51.8821,2,1,22,1,0,1,0,0,0,1,2,71,49,,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Sa,28.02.2015,16:58,Friedrichsdorfer Straße,Isselhorster Straße,,K,35,3,0,0,0,8.43849,51.9392,3,2,24,2,0,0,1,0,0,1,0,21,35,,87,2,2,3,71,,,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,02.03.2015,12:38,Stadtring Kattenstroth,Bertelsweg,,G,,,,,,8.38263,51.8841,2,2,42,2,0,1,0,0,0,1,0,21,35,,54,2,2,2,71,11,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,02.03.2015,17:14,Bohlenstraße,Barkeystraße,,G,,,,,,8.37001,51.905,5,3,71,2,0,0,0,0,1,1,0,71,11,49,54,1,2,0,21,28,,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,04.03.2015,13:54,Kurfürstenstraße,Vennstraße,,G,,,,,,8.37379,51.9127,3,3,72,2,0,0,1,0,0,1,3,71,37,,16,1,2,0,21,,,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,05.03.2015,07:25,Stadtring Nordhorn,Stadtring Nordhorn,120,G,,,,,,8.40912,51.9239,3,3,42,2,0,0,1,0,0,1,0,21,28,,47,2,2,3,71,10,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,08.03.2015,10:35,Güthstraße,,32,G,,,,,,8.44521,51.9348,3,1,99,2,0,0,1,0,0,1,3,71,49,,10,1,2,0,21,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,11.03.2015,06:44,Neuenkirchener Straße,Steinmerschweg,,L,782,15,100,0,200,8.3948,51.8792,3,3,41,2,0,0,1,0,0,1,0,21,28,,37,1,2,3,71,46,,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,11.03.2015,13:30,Feuerbornstraße,,2,G,,,,,,8.37334,51.9002,3,6,81,2,0,0,1,0,1,1,0,71,11,,,1,2,3,71,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,12.03.2015,15:05,Carl-Bertelsmann-Straße,,,L,788,8,0,0,240,8.39693,51.905,5,3,42,2,0,0,0,0,1,1,0,21,37,49,71,2,2,0,71,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,13.03.2015,21:35,Friedrich-Ebert-Straße,Kaiserstraße,,L,757,2,0,0,0,8.38487,51.9089,5,3,42,2,0,0,0,0,1,1,0,71,28,,,1,2,0,21,,,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,15.03.2015,21:20,Yorckstraße,Blücherstraße,,G,,,,,,8.37911,51.9162,5,2,61,2,0,0,0,0,0,1,0,21,11,,19,1,2,0,71,,,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,16.03.2015,09:20,Isselhorster Straße,Akazienweg,,K,36,3,0,0,895,8.43936,51.9384,3,3,42,2,0,0,1,0,0,1,0,21,37,,35,2,2,3,71,10,10,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Di,17.03.2015,11:50,Magnolienweg,,,G,,,,,,8.38625,51.9272,5,3,71,2,0,0,0,0,1,1,0,71,37,,15,1,2,0,21,49,,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,22.03.2015,18:00,Wiedenbrücker Straße,Auf`m Kampe,,B,61,49,0,2,500,8.35798,51.8845,3,2,23,2,0,0,1,0,0,1,0,21,35,,37,1,2,3,71,,,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mo,23.03.2015,15:57,Carl-Miele-Straße,Ottilienstraße,,K,37,1,0,1,760,8.40987,51.9129,3,3,42,2,0,0,1,0,0,1,0,21,28,,41,2,2,3,71,10,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,25.03.2015,19:42,Friedrich-Ebert-Straße,,25,L,757,1,0,0,310,8.37972,51.9116,2,1,81,1,0,1,0,0,0,1,2,71,13,50,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Mi,25.03.2015,11:43,Carl-Miele-Straße,Luisenstraße,,K,37,1,0,1,150,8.40094,51.9112,5,3,42,2,0,0,0,0,0,1,0,71,10,48,39,2,2,0,21,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,So,29.03.2015,00:53,Ackerstraße,,25,G,,,,,,8.38268,51.9137,3,7,21,2,0,0,1,0,0,1,0,21,36,,60,2,2,3,71,11,,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Di,07.04.2015,06:00,Königstraße,,42,G,,,,,,8.37387,51.9072,5,5,1,2,0,0,0,0,0,1,0,71,14,,30,1,2,0,21,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Do,09.04.2015,13:50,Berliner Straße,Nordring,,G,,,,,,8.38773,51.9126,2,2,43,2,0,1,0,0,0,1,0,21,35,,31,2,2,2,72,,,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,10.04.2015,08:48,Brockhäger Straße,,20,L,782,20,0,0,275,8.37203,51.9166,3,3,42,2,0,0,1,0,0,1,0,21,37,,48,1,2,3,71,10,,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gütersloh,Fr,10.04.2015,16:55,Krummer Weg,Alte Buschstraße,,G,,,,,,8.384,51.8858,5,3,23,2,0,0,0,0,0,1,0,71,27,,8,2,2,0,21,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
